session_key,track,driver,driver_number,lap,pit_duration,team
9963,Montreal,O PIASTRI,81,69,18.2,McLaren
9971,Catalunya,K ANTONELLI,12,21,22.2,Mercedes
9971,Catalunya,K ANTONELLI,12,49,23.4,Mercedes
9971,Catalunya,F ALONSO,14,15,22.7,AstonMartin
9971,Catalunya,F ALONSO,14,42,22.2,AstonMartin
9971,Catalunya,F ALONSO,14,54,22.2,AstonMartin
9971,Catalunya,C LECLERC,16,17,21.8,Ferrari
9971,Catalunya,C LECLERC,16,40,21.8,Ferrari
9971,Catalunya,C LECLERC,16,55,22.3,Ferrari
9971,Catalunya,M VERSTAPPEN,1,13,21.8,RedBull
9971,Catalunya,M VERSTAPPEN,1,29,21.9,RedBull
9971,Catalunya,M VERSTAPPEN,1,47,21.8,RedBull
9971,Catalunya,M VERSTAPPEN,1,55,22.1,RedBull
9971,Catalunya,Y TSUNODA,22,8,21.8,RedBull
9971,Catalunya,Y TSUNODA,22,24,22.0,RedBull
9971,Catalunya,Y TSUNODA,22,44,21.8,RedBull
9971,Catalunya,Y TSUNODA,22,54,22.2,RedBull
9971,Catalunya,L HAMILTON,44,16,21.9,Ferrari
9971,Catalunya,L HAMILTON,44,46,24.4,Ferrari
9971,Catalunya,L HAMILTON,44,55,22.8,Ferrari
9971,Catalunya,L NORRIS,4,21,22.4,McLaren
9971,Catalunya,L NORRIS,4,48,21.8,McLaren
9971,Catalunya,L NORRIS,4,55,23.5,McLaren
9971,Catalunya,G RUSSELL,63,20,21.7,Mercedes
9971,Catalunya,G RUSSELL,63,41,21.7,Mercedes
9971,Catalunya,G RUSSELL,63,55,23.1,Mercedes
9971,Catalunya,O PIASTRI,81,22,21.8,McLaren
9971,Catalunya,O PIASTRI,81,49,21.8,McLaren
9971,Catalunya,O PIASTRI,81,55,22.7,McLaren
9979,Monte_Carlo,K ANTONELLI,12,69,24.4,Mercedes
9979,Monte_Carlo,K ANTONELLI,12,71,24.8,Mercedes
9979,Monte_Carlo,F ALONSO,14,16,25.3,AstonMartin
9979,Monte_Carlo,C LECLERC,16,22,23.5,Ferrari
9979,Monte_Carlo,C LECLERC,16,49,23.6,Ferrari
9979,Monte_Carlo,L STROLL,18,17,23.9,AstonMartin
9979,Monte_Carlo,L STROLL,18,64,25.9,AstonMartin
9979,Monte_Carlo,M VERSTAPPEN,1,28,24.1,RedBull
9979,Monte_Carlo,M VERSTAPPEN,1,77,23.9,RedBull
9979,Monte_Carlo,Y TSUNODA,22,1,24.5,RedBull
9979,Monte_Carlo,Y TSUNODA,22,73,24.0,RedBull
9979,Monte_Carlo,L HAMILTON,44,18,23.5,Ferrari
9979,Monte_Carlo,L HAMILTON,44,56,24.2,Ferrari
9979,Monte_Carlo,L NORRIS,4,19,24.5,McLaren
9979,Monte_Carlo,L NORRIS,4,50,23.7,McLaren
9979,Monte_Carlo,G RUSSELL,63,53,19.4,Mercedes
9979,Monte_Carlo,G RUSSELL,63,62,25.0,Mercedes
9979,Monte_Carlo,G RUSSELL,63,68,24.0,Mercedes
9979,Monte_Carlo,O PIASTRI,81,20,25.7,McLaren
9979,Monte_Carlo,O PIASTRI,81,48,23.9,McLaren
9987,Imola,K ANTONELLI,12,29,30.0,Mercedes
9987,Imola,F ALONSO,14,12,30.1,AstonMartin
9987,Imola,F ALONSO,14,46,30.8,AstonMartin
9987,Imola,C LECLERC,16,10,29.6,Ferrari
9987,Imola,C LECLERC,16,29,31.8,Ferrari
9987,Imola,L STROLL,18,14,31.2,AstonMartin
9987,Imola,L STROLL,18,46,34.4,AstonMartin
9987,Imola,M VERSTAPPEN,1,29,29.9,RedBull
9987,Imola,M VERSTAPPEN,1,46,29.6,RedBull
9987,Imola,Y TSUNODA,22,29,29.8,RedBull
9987,Imola,L HAMILTON,44,29,29.9,Ferrari
9987,Imola,L HAMILTON,44,46,29.9,Ferrari
9987,Imola,L NORRIS,4,28,29.5,McLaren
9987,Imola,L NORRIS,4,46,31.6,McLaren
9987,Imola,G RUSSELL,63,11,29.7,Mercedes
9987,Imola,G RUSSELL,63,29,30.7,Mercedes
9987,Imola,O PIASTRI,81,13,30.9,McLaren
9987,Imola,O PIASTRI,81,30,30.6,McLaren
9998,Shanghai,K ANTONELLI,12,12,22.6,Mercedes
9998,Shanghai,C LECLERC,16,15,22.1,Ferrari
9998,Shanghai,L STROLL,18,36,22.9,AstonMartin
9998,Shanghai,M VERSTAPPEN,1,13,22.4,RedBull
9998,Shanghai,L LAWSON,30,18,22.5,RedBull
9998,Shanghai,L LAWSON,30,30,22.3,RedBull
9998,Shanghai,L HAMILTON,44,13,22.3,Ferrari
9998,Shanghai,L HAMILTON,44,37,22.3,Ferrari
9998,Shanghai,L NORRIS,4,15,22.2,McLaren
9998,Shanghai,G RUSSELL,63,14,22.3,Mercedes
9998,Shanghai,O PIASTRI,81,14,23.9,McLaren
